"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Squat (Bodyweight)",,"",0,"warmup",,10,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Squat (Bodyweight)",,"",1,"warmup",,10,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Squat (Barbell)",,"",0,"warmup",20,15,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Squat (Barbell)",,"",1,"normal",50,15,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Squat (Barbell)",,"",2,"normal",70,10,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Overhead Press (Dumbbell)",,"",0,"normal",50,10,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Overhead Press (Dumbbell)",,"",1,"normal",50,10,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Preacher Curl (Machine)",,"",0,"normal",10,15,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Preacher Curl (Machine)",,"",1,"normal",15,15,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",30,15,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",35,10,,,
"Full Body - B","26 Aug 2025, 23:23","26 Aug 2025, 23:54","","Crunch",,"",0,"normal",,20,,,
"Full Body - A","25 Aug 2025, 07:28","25 Aug 2025, 08:07","","Bench Press (Dumbbell)",,"",0,"normal",40,20,,,
"Full Body - A","25 Aug 2025, 07:28","25 Aug 2025, 08:07","","Bench Press (Dumbbell)",,"",1,"normal",50,15,,,
"Full Body - A","25 Aug 2025, 07:28","25 Aug 2025, 08:07","","Bench Press (Dumbbell)",,"",2,"normal",60,10,,,
"Full Body - A","25 Aug 2025, 07:28","25 Aug 2025, 08:07","","Romanian Deadlift (Dumbbell)",,"",0,"normal",40,20,,,
"Full Body - A","25 Aug 2025, 07:28","25 Aug 2025, 08:07","","Romanian Deadlift (Dumbbell)",,"",1,"failure",50,20,,,
